price,trim,isOneOwner,mileage,year,color,displacement,fuel,region
2.988,320,f,193.296,1995,Black,3.2,Gasoline,SoA
6.595,320,f,129.948,1995,other,3.2,Gasoline,Mid
7.993,320,f,140.428,1997,White,3.2,Gasoline,Mid
5.995,420,f,113.622,1999,Silver,4.2,Gasoline,Mid
3.0,420,f,167.673,1999,Silver,4.2,Gasoline,SoA
7.4,430,f,82.419,2002,White,4.3,Gasoline,Mid
10.85,430,f,101.264,2000,White,4.3,Gasoline,SoA
8.99,430,f,110.651,2001,Black,4.3,Gasoline,SoA
7.95,430,f,108.173,2000,Silver,4.3,Gasoline,ESC
7.995,430,f,119.978,2000,Black,4.3,Gasoline,ESC
6.998,430,f,187.977,2002,Gray,4.3,Gasoline,SoA
11.997,430,f,106.093,2002,Silver,4.3,Gasoline,ENC
2.8,430,f,59.69,2002,Black,4.3,Gasoline,ENC
11.459,430,f,129.167,2003,other,4.3,Gasoline,WSC
4.995,430,f,172.807,2002,Gray,4.3,Gasoline,ENC
10.999,430,f,76.577,2004,Gray,4.3,Gasoline,Mid
10.765,430,f,66.453,2002,Silver,4.3,Gasoline,New
9.994,430,f,84.097,2003,Silver,4.3,Gasoline,ENC
9.995,430,t,97.24,2002,Gray,4.3,Gasoline,Mtn
9.339,430,f,143.997,2004,Gray,4.3,Gasoline,Mtn
8.8,430,f,125.438,2004,Silver,4.3,Gasoline,WSC
16.95,430,f,83.507,2006,Blue,4.3,Gasoline,Mtn
8.995,430,f,121.64,2001,Blue,4.3,Gasoline,Mtn
8.875,430,f,136.514,2001,other,4.3,Gasoline,SoA
5.9,430,f,144.645,2001,Silver,4.3,Gasoline,SoA
6.995,430,f,178.0,2002,Silver,4.3,Gasoline,SoA
7.99,430,f,83.77,2003,Silver,4.3,Gasoline,New
7.999,430,t,89.024,2002,Silver,4.3,Gasoline,SoA
6.995,430,f,141.61,2002,Silver,4.3,Gasoline,WSC
3.499,430,f,176.699,2000,Silver,4.3,Gasoline,ENC
23.0,430,f,75.677,2006,Black,4.3,Gasoline,SoA
6.95,430,f,126.162,2000,White,4.3,Gasoline,Pac
9.988,55 AMG,f,120.087,2001,Silver,5.4,Gasoline,New
