price,isOneOwner,mileage,year,displacement,trim
26.995,0,71.129,2008,5.5,7.0
19.995,0,116.0,2007,5.5,7.0
48.995,0,25.524,2011,5.5,7.0
34.95,0,79.033,2008,5.5,8.0
18.9,0,82.3,2002,5.4,6.0
30.98,0,73.132,2007,5.5,7.0
22.995,0,113.504,2008,5.5,7.0
25.649,0,91.434,2007,5.5,7.0
8.995,0,141.883,2002,4.3,4.0
12.8,0,71.859,2005,5.0,5.0
8.777,0,90.224,2000,5.0,5.0
27.939,1,84.536,2007,5.5,7.0
36.995,0,56.462,2007,5.5,7.0
27.995,0,97.52,2007,5.5,7.0
4.99,0,150.503,2000,5.0,5.0
34.995,0,49.198,2007,5.5,7.0
25.998,0,89.518,2007,5.5,7.0
38.988,0,73.901,2011,5.5,7.0
49.999,0,28.195,2012,4.6,7.0
28.85,0,76.485,2008,5.5,7.0
22.9,0,113.188,2007,5.5,7.0
16.998,0,88.312,2004,4.3,4.0
63.5,0,18.778,2013,4.6,7.0
61.994,1,21.337,2013,4.6,7.0
39.95,0,59.717,2010,5.5,7.0
30.0,0,57.495,2007,5.5,7.0
10.995,0,140.111,2000,5.0,5.0
10.499,0,99.994,2005,4.3,4.0
27.542,0,78.662,2007,5.5,7.0
6.99,0,106.746,2000,5.0,5.0
6.995,1,111.821,2001,5.0,5.0
53.888,0,33.878,2010,5.5,7.0
17.995,0,70.533,2006,4.3,4.0
24.544,0,85.499,2007,5.5,7.0
49.9,0,34.557,2012,4.6,7.0
52.888,0,30.351,2011,5.5,7.0
44.941,1,47.0,2010,5.5,7.0
39.99,1,74.735,2010,5.5,7.0
11.988,0,87.57,2003,4.3,4.0
25.995,0,108.804,2008,5.5,7.0
8.995,0,148.113,2006,4.3,4.0
53.995,0,10.281,2012,4.6,7.0
21.981,0,94.321,2007,5.5,7.0
31.941,0,59.785,2008,5.5,7.0
56.5,0,27.963,2013,4.6,7.0
28.495,0,80.204,2008,5.5,7.0
50.998,1,64.987,2010,6.3,9.0
62.995,1,31.419,2012,4.6,7.0
22.999,0,137.766,2007,5.5,7.0
11.595,0,112.579,2003,4.3,4.0
14.77,0,110.61,2005,4.3,4.0
34.881,0,39.217,2007,5.5,8.0
22.9,0,69.285,2006,4.3,4.0
39.495,1,65.557,2010,5.5,7.0
30.988,0,63.078,2008,5.5,7.0
33.971,0,40.905,2007,5.5,7.0
59.998,0,22.55,2012,4.6,7.0
43.791,0,51.824,2010,5.5,7.0
29.995,0,73.243,2008,5.5,7.0
66.991,1,26.807,2013,4.6,7.0
28.773,0,78.381,2007,5.5,7.0
28.5,0,66.729,2007,5.5,7.0
